Query,Assessment_Name,Assessment_URL,Duration,Test_Type,Description
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",Python (New),https://www.shl.com/products/product-catalog/view/python-new/,11,K,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library."
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,9,K,"Multi-choice test that measures the knowledge of SQL queries, data manipulation and transaction processing."
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package that can test all skills with max duration of 60 minutes.",JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,9,K,"Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development."
"Job Description<br><br> Join a community that is shaping the future of work! <br><br> SHL, People Science. People Answers. <br><br>Are you an AI enthusiastwith visionary thinking to conceptualize AI-based products?...Can you recommend some assessment that can help me screen applications. Time limit is less than 30 minutes",AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,16,P,"The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work."
"Job Description<br><br> Join a community that is shaping the future of work! <br><br> SHL, People Science. People Answers. <br><br>Are you an AI enthusiastwith visionary thinking to conceptualize AI-based products?...Can you recommend some assessment that can help me screen applications. Time limit is less than 30 minutes",Python (New),https://www.shl.com/products/product-catalog/view/python-new/,11,K,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library."
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests what options are available within 45 mins.",SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,20,AS,"Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts."
"I am hiring for an analyst and wants applications to screen using Cognitive and personality tests what options are available within 45 mins.",Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,25,P,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world."
"I have a JD Job Description...The Presales Specialist is responsible for creating curating and presenting compelling content...Here and I have want them to give a test which is atleast  30 mins long",Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,24,K,"This is an adaptive test that measures knowledge of communicating in the workplace."
"I have a JD Job Description...The Presales Specialist is responsible for creating curating and presenting compelling content...Here and I have want them to give a test which is atleast  30 mins long",Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,15,K,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts."
"I am new looking for new graduates in my sales team suggest an 30 min long assessment",Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,20,CP,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue."
